fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,vd,79,111,102,31483,30939,30399,29867,29335,28787,28243,27707,27167,26627,26071,25535,25007,24475,23931,2722,200,68
26,1f,80,vd,78,111,104,32563,32027,31483,30939,30399,29867,29335,28787,28243,27707,27167,26627,26071,25535,25007,2757,281,70
26,1f,80,vd,79,111,105,33099,32563,32027,31483,30939,30399,29867,29335,28787,28243,27707,27167,26627,26071,25535,2757,281,70
26,1f,80,vd,78,111,107,34699,34167,33099,32563,32027,31483,30939,30399,29867,29335,28787,28243,27707,27167,26627,2784,200,71
26,1f,80,vd,80,111,109,35751,35227,34699,34167,33099,32563,32027,31483,30939,30399,29867,29335,28787,28243,27707,2784,200,71
26,1f,80,vd,80,111,110,36259,35751,35227,34699,34167,33099,32563,32027,31483,30939,30399,29867,29335,28787,28243,2811,200,73
26,1f,80,vd,80,112,112,37755,37255,36259,35751,35227,34699,34167,33099,32563,32027,31483,30939,30399,29867,29335,2811,200,73
26,1f,80,vd,79,112,114,38755,38255,37755,37255,36259,35751,35227,34699,34167,33099,32563,32027,31483,30939,30399,2838,200,74
26,1f,80,vd,78,113,116,39771,39263,38755,38255,37755,37255,36259,35751,35227,34699,34167,33099,32563,32027,31483,2838,200,74
26,1f,80,vd,78,114,118,40779,40275,39771,39263,38755,38255,37755,37255,36259,35751,35227,34699,34167,33099,32563,2875,281,76
26,1f,80,vd,79,114,120,41815,41295,40779,40275,39771,39263,38755,38255,37755,37255,36259,35751,35227,34699,34167,2875,281,76
